Ticket subject,Ticket Type,Ticket priority,Module,Product
Change Request - CRF-18424 - Lynville Land Development Corporation,Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
Inquiry of Terminated  Status,Problem,Normal,Final Pay,Sprout Payroll
Loan Deduction,Problem,Normal,Instacash Widget,Sprout Instacash
Loan Deduction,Problem,Normal,InstaCash: Payments,Sprout Instacash
Change Request - CRF-18425 - Jetti Petroleum Inc,Task,Normal,Backend Policy,Sprout Payroll
Data for SSO Activation | For review,Task,Normal,SSO,Sprout HR
Data for SSO Activation | For review,Task,Normal,SSO,Sprout Payroll
Data for SSO Activation | For review,Task,Normal,Users,Sprout HR
Data for SSO Activation | For review,Task,Normal,Users,Sprout Payroll
Absent on Holiday,Problem,Normal,Attendance Report,Sprout HR
Absent on Holiday,Problem,Normal,Holidays,Sprout HR
Absent on Holiday,Problem,Normal,Work Schedule,Sprout HR
Re: URGENT: Script Creation for Bulk Upload (Payroll),Problem,Normal,HDMF / Pag-IBIG Contribution,Sprout Payroll
Re: URGENT: Script Creation for Bulk Upload (Payroll),Problem,Normal,PhilHealth Contribution,Sprout Payroll
Re: URGENT: Script Creation for Bulk Upload (Payroll),Problem,Normal,SSS Contribution,Sprout Payroll
Re: URGENT: Script Creation for Bulk Upload (Payroll),Problem,Normal,Statutory Report,Sprout Payroll
Risewave: Dashboard issue,Question,Normal,Attendance Report,Sprout HR
FW: Deduction of Insta Cash Loan,Problem,Normal,Instacash Widget,Sprout Instacash
FW: Deduction of Insta Cash Loan,Problem,Normal,InstaCash: Payments,Sprout Instacash
Change Request - CRF-18426 - Sunnies Inc.,Task,Normal,Biometrics Device,Sprout HR
Re: Sprout Inquiry,Problem,High,Attendance Report,Sprout HR
Re: Sprout Inquiry,Problem,High,Attendance Report,Sprout Payroll
Re: Sprout Inquiry,Problem,High,Holidays,Sprout HR
Re: Sprout Inquiry,Problem,High,Holidays,Sprout Payroll
Re: Sprout Inquiry,Problem,High,Overtimes,Sprout HR
Re: Sprout Inquiry,Problem,High,Overtimes,Sprout Payroll
Re: Sprout Inquiry,Problem,High,Salary,Sprout HR
Re: Sprout Inquiry,Problem,High,Salary,Sprout Payroll
Re: Enshored: Request for a Walkthrough,Problem,Normal,Access Levels,Sprout HR
Re: Enshored: Request for a Walkthrough,Problem,Normal,Leave Plans and Usage,Sprout HR
Re: Enshored: Request for a Walkthrough,Problem,Normal,Work Schedule,Sprout HR
ENSHORED: New Walkthrough Schedule with Jean,Problem,Normal,Access Levels,Sprout HR
ENSHORED: New Walkthrough Schedule with Jean,Problem,Normal,Work Schedule,Sprout HR
REQUEST: Employees under Each Holiday Set-up,Task,Normal,Holidays,Sprout HR
"Change Request - CRF-18427 - HOME HEALTH CARE PLACEMENTS, INC.",Task,Normal,Mobile App Device Registration (Link/Unlink/Add/Remove),Sprout Mobile
Geofence request to Digitally Connected Teams (DCT) Offshore Teams,Question,Low,Activation,Sprout Mobile
Geofence request to Digitally Connected Teams (DCT) Offshore Teams,Question,Low,Geofencing,Sprout Mobile
Beepo: Other options on HRHUB - Item 3 Extract list of employee under holiday option,Task,Normal,Holidays,Sprout HR
Performance + Account - J. Diciembre,Problem,High,Sprout Perf+: Employee Dashboard,Sprout Performance+
Performance + Account - J. Diciembre,Problem,High,Sprout Perf+: Other,Sprout Performance+
Beepo: Other options on HRHUB - Item 4  Option to record the attendance of staff who work overnight,Problem,Normal,Attendance Report,Sprout HR
Beepo: Other options on HRHUB - Item 4  Option to record the attendance of staff who work overnight,Problem,Normal,Backend Policy,Sprout HR
Beepo: Other options on HRHUB - Item 4  Option to record the attendance of staff who work overnight,Problem,Normal,Work Schedule,Sprout HR
PALAWAN SPROUT CONCERN,Problem,Normal,Official Business Application,Sprout HR
GRAND PILLAR INTERNATIONAL DEV'T INC. - ATTENDANCE SUMMARY REPORT,Question,Normal,Overtime Report,Sprout HR
GRAND PILLAR INTERNATIONAL DEV'T INC. - ATTENDANCE SUMMARY REPORT,Question,Normal,Overtimes,Sprout HR
LHPI - Sprout Insight,Problem,Normal,Insight: Overtime Dashboard,Sprout Insight
Hours Worked Issue,Problem,Normal,Attendance Report,Sprout HR
Change Request -  - 365 FOOD AND SUPPLY CORP.,Task,Normal,Backend Policy,Sprout Payroll
Change Request -  - 1228 FOODS CORP.,Task,Normal,Backend Policy,Sprout Payroll
Sprout Mobile Issue,Problem,Normal,Login,Sprout Mobile
Login Error for New Hires,Problem,Normal,Forgot Password,Sprout HR
Login Error for New Hires,Problem,Normal,Login,Sprout HR
Re: Report Issue: [Instacash - Something went wrong],Problem,Normal,Instacash Widget,Sprout Instacash
Change Request - CRF-18428 - Kwanii,Task,Normal,Others,Sprout HR
Sched Adjustment and Attendance Report Concern,Problem,Normal,Attendance Report,Sprout HR
Sched Adjustment and Attendance Report Concern,Problem,Normal,Backend Policy,Sprout HR
Sched Adjustment and Attendance Report Concern,Problem,Normal,Holidays,Sprout HR
Sched Adjustment and Attendance Report Concern,Problem,Normal,Schedule Adjustments,Sprout HR
Sched Adjustment and Attendance Report Concern,Problem,Normal,Work Schedule,Sprout HR
Gentleprince Incorporated | Payroll Access Concern,Problem,Normal,Others,Sprout HR
Gentleprince Incorporated | Payroll Access Concern,Problem,Normal,Others,Sprout Payroll
Gentleprince Incorporated | Payroll Access Concern,Problem,Normal,SSO,Sprout HR
Gentleprince Incorporated | Payroll Access Concern,Problem,Normal,SSO,Sprout Payroll
Filing Concern (ICON),Problem,Normal,Attendance Report,Sprout HR
Filing Concern (ICON),Problem,Normal,Backend Policy,Sprout HR
Filing Concern (ICON),Problem,Normal,Official Businesses,Sprout HR
Undeducted Advance Tech Loan Details | KMCC Employee ID No. C2868,Problem,Normal,Loans,Sprout HR
Leave Deductions Concern (ICON),Question,Normal,Leave Types and Policies,Sprout HR
Leave Deductions Concern (ICON),Question,Normal,Leaves,Sprout HR
Change Request -  - Outsourcey Global Inc.,Task,Normal,Activation,Sprout Mobile
Change Request -  - Outsourcey Global Inc.,Task,Normal,Geotagging,Sprout Mobile
contribution deduction,Question,Low,Current Payroll Information,Sprout Payroll
contribution deduction,Question,Low,HDMF / Pag-IBIG Contribution,Sprout Payroll
Agile Digital Ventures | Performance+ | Licensed Limit,Problem,Normal,Sprout Perf+: Other,Sprout Performance+
Insight Concern | Children International Manil,Problem,Normal,Others,Sprout Insight
Help Me Log in,Problem,Normal,Login,Sprout Payroll
CO WELLNESS GROUP OPC- Final Pay Computation,Problem,Normal,Final Pay,Sprout Payroll
The Manila Hotel - Payroll - Final Pay Issue,Problem,Normal,Final Pay,Sprout Payroll
Loan deduction,Problem,Normal,InstaCash: Payments,Sprout Instacash
